Jusung Fab Simulator, 2022/10/14, 21:30:4
/////////////////////////////////////////////////////
TotalTime, CleanTime, Throughput
00:01:05:42, 00:00:00:00, 43.84
/////////////////////////////////////////////////////
LL_M, LL_S, PM_M, PM_S, VAC
2, 6, 2, 6, 4
/////////////////////////////////////////////////////
